DATE,A939RX0Q048SBEA
2003-04-01,47342.0
2003-07-01,48012.0
2003-10-01,48450.0
2004-01-01,48633.0
2004-04-01,48905.0
2004-07-01,49243.0
2004-10-01,49623.0
2005-01-01,50068.0
2005-04-01,50204.0
2005-07-01,50470.0
2005-10-01,50629.0
2006-01-01,51200.0
2006-04-01,51210.0
2006-07-01,51155.0
2006-10-01,51455.0
2007-01-01,51492.0
2007-04-01,51705.0
2007-07-01,51882.0
2007-10-01,52066.0
2008-01-01,51740.0
2008-04-01,51923.0
2008-07-01,51523.0
2008-10-01,50281.0
2009-01-01,49594.0
2009-04-01,49408.0
2009-07-01,49473.0
2009-10-01,49886.0
2010-01-01,50036.0
2010-04-01,50424.0
2010-07-01,50706.0
2010-10-01,50859.0
2011-01-01,50646.0
2011-04-01,50897.0
2011-07-01,50769.0
2011-10-01,51232.0
2012-01-01,51559.0
2012-04-01,51702.0
2012-07-01,51684.0
2012-10-01,51634.0
2013-01-01,51998.0
2013-04-01,51982.0
2013-07-01,52284.0
2013-10-01,52544.0
2014-01-01,52266.0
2014-04-01,52840.0
2014-07-01,53340.0
2014-10-01,53464.0
2015-01-01,53806.0
2015-04-01,54021.0
2015-07-01,54081.0
2015-10-01,54045.0
2016-01-01,54267.0
2016-04-01,54334.0
2016-07-01,54549.0
2016-10-01,54714.0
2017-01-01,54866.0
2017-04-01,55057.0
2017-07-01,55413.0
2017-10-01,55877.0
2018-01-01,56195.0
2018-04-01,56512.0
2018-07-01,56831.0
2018-10-01,56851.0
2019-01-01,57100.0
2019-04-01,57418.0
2019-07-01,57845.0
2019-10-01,58017.0
2020-01-01,57279.0
2020-04-01,52393.0
2020-07-01,56479.0
2020-10-01,56993.0
2021-01-01,57882.0
2021-04-01,58842.0
2021-07-01,59169.0
2021-10-01,60117.0
2022-01-01,59836.0
2022-04-01,59688.0
2022-07-01,60080.0
2022-10-01,60376.0
2023-01-01,60611.0
2023-04-01,60852.0
