DATE,LFWA64TTUSM647S
2003-06-01,186801250.57718
2003-07-01,187068781.83700302
2003-08-01,187307937.31809703
2003-09-01,187540738.33864602
2003-10-01,187738637.460428
2003-11-01,187973596.170705
2003-12-01,188134095.260604
2004-01-01,187686790.76309198
2004-02-01,187874649.36408702
2004-03-01,188056450.797998
2004-04-01,188318701.386267
2004-05-01,188476769.998936
2004-06-01,188688948.30385402
2004-07-01,188841634.320888
2004-08-01,189072589.046573
2004-09-01,189218373.106603
2004-10-01,189445806.911008
2004-11-01,189654315.970882
2004-12-01,189809206.38181
2005-01-01,189989274.731612
2005-02-01,190143945.477579
2005-03-01,190460374.61149898
2005-04-01,190465877.435517
2005-05-01,190710814.067596
2005-06-01,190962102.556057
2005-07-01,191116072.92483902
2005-08-01,191266042.863653
2005-09-01,191438834.31239998
2005-10-01,191656056.205746
2005-11-01,191931560.275213
2005-12-01,192144650.571952
2006-01-01,192349619.368451
2006-02-01,192543155.536697
2006-03-01,192689415.013787
2006-04-01,192816222.234432
2006-05-01,192913227.959179
2006-06-01,193147245.618534
2006-07-01,193316395.095091
2006-08-01,193455410.756005
2006-09-01,193557770.400404
2006-10-01,193703005.261443
2006-11-01,193948018.439989
2006-12-01,194181161.90412998
2007-01-01,194948893.76316798
2007-02-01,195127903.379601
2007-03-01,195234459.40799
2007-04-01,195286290.288425
2007-05-01,195379410.57101598
2007-06-01,195626629.46256098
2007-07-01,195763589.435011
2007-08-01,195849821.459522
2007-09-01,195982870.57074702
2007-10-01,196078415.574749
2007-11-01,196220576.81284901
2007-12-01,196456569.962753
2008-01-01,196084372.417111
2008-02-01,196236313.611065
2008-03-01,196402782.35314202
2008-04-01,196184250.38005498
2008-05-01,196465225.53211102
2008-06-01,196571995.29712802
2008-07-01,196673356.37912202
2008-08-01,196811639.43304402
2008-09-01,196983617.64493898
2008-10-01,197147604.314356
2008-11-01,197284293.12403
2008-12-01,197451186.28329
2009-01-01,196956592.301266
2009-02-01,197132742.514633
2009-03-01,197298952.03005302
2009-04-01,197762698.87781802
2009-05-01,197891289.743288
2009-06-01,197601016.98786
2009-07-01,197764353.689474
2009-08-01,198114608.952855
2009-09-01,198363088.438423
2009-10-01,198619928.333321
2009-11-01,198615925.699597
2009-12-01,198625105.114034
2010-01-01,198065327.371548
2010-02-01,198331104.661565
2010-03-01,198649878.375604
2010-04-01,199113419.503739
2010-05-01,199223940.862867
2010-06-01,198996321.698288
2010-07-01,199103313.701535
2010-08-01,199358226.878271
2010-09-01,199591633.931444
2010-10-01,199862078.333142
2010-11-01,199934804.063997
2010-12-01,199963672.437139
2011-01-01,199072074.22677702
2011-02-01,199331515.119777
2011-03-01,199525115.94176
2011-04-01,199948919.93607798
