date,home_price,construction_price,new_houses_owned,disposable_inc,unemp_rate,interest_rates,cp_index,working_population,housing_sub,percent_population,gdp_per_cap,median_income
2004-01-01,141.64600000000002,150.0,1709.0,10472.7,5.7,1.0,186.3,187686790.763092,27.201,79.757,48633.0,63745.0
2004-02-01,143.191,153.4,1718.0,10491.3,5.6,1.01,186.7,187874649.36408705,27.238500000000002,79.77125000000001,48723.666666666664,63801.833333333336
2004-03-01,145.059,156.5,1794.0,10533.6,5.8,1.0,187.1,188056450.797998,27.276,79.7855,48814.333333333336,63858.666666666664
2004-04-01,146.592,160.1,1938.0,10569.6,5.6,1.0,187.4,188318701.386267,27.3135,79.79975,48905.0,63915.5
2004-05-01,148.185,162.7,1893.0,10623.3,5.6,1.0,188.2,188476769.998936,27.351,79.81400000000001,49017.666666666664,63972.333333333336
2004-06-01,149.85,162.0,1857.0,10631.8,5.6,1.03,188.9,188688948.303854,27.3885,79.82825,49130.333333333336,64029.166666666664
2004-07-01,151.338,162.2,1881.0,10658.1,5.5,1.26,189.1,188841634.320888,27.426000000000002,79.8425,49243.0,64086.0
2004-08-01,152.634,165.9,1911.0,10693.5,5.4,1.43,189.2,189072589.046573,27.4635,79.85675,49369.666666666664,64142.833333333336
2004-09-01,154.179,167.2,1796.0,10701.4,5.4,1.61,189.8,189218373.106603,27.501,79.871,49496.333333333336,64199.666666666664
2004-10-01,155.75,165.9,1839.0,10707.4,5.5,1.76,190.8,189445806.911008,27.5385,79.88525,49623.0,64256.5
2004-11-01,157.52700000000002,165.5,1758.0,10677.3,5.4,1.93,191.7,189654315.970882,27.576,79.8995,49771.333333333336,64313.333333333336
2004-12-01,159.33,166.3,1921.0,11072.9,5.4,2.16,191.7,189809206.38181,27.6135,79.91375,49919.666666666664,64370.166666666664
2005-01-01,161.28799999999998,168.6,1892.0,10670.3,5.3,2.28,191.6,189989274.731612,27.651,79.928,50068.0,64427.0
2005-02-01,163.344,170.4,1908.0,10677.1,5.4,2.5,192.4,190143945.477579,27.730416666666667,79.94225,50113.333333333336,64468.916666666664
2005-03-01,165.812,170.0,1787.0,10717.4,5.2,2.63,193.1,190460374.61149895,27.809833333333334,79.9565,50158.666666666664,64510.833333333336
2005-04-01,167.50099999999998,170.0,1927.0,10751.9,5.2,2.79,193.7,190465877.435517,27.88925,79.97075,50204.0,64552.75
2005-05-01,169.35,168.1,2103.0,10799.8,5.1,3.0,193.6,190710814.067596,27.968666666666667,79.985,50292.666666666664,64594.666666666664
2005-06-01,171.19,167.8,1965.0,10824.4,5.0,3.04,193.7,190962102.556057,28.048083333333334,79.99925,50381.333333333336,64636.583333333336
2005-07-01,172.859,167.2,1886.0,10839.0,5.0,3.26,194.9,191116072.92483905,28.127499999999998,80.0135,50470.0,64678.5
2005-08-01,174.44299999999998,165.9,1952.0,10856.6,4.9,3.5,196.1,191266042.863653,28.206916666666665,80.02775,50523.0,64720.416666666664
2005-09-01,176.437,168.9,1922.0,10815.7,5.0,3.62,198.8,191438834.3124,28.28633333333333,80.042,50576.0,64762.333333333336
2005-10-01,178.02700000000002,171.6,1962.0,10870.2,5.0,3.78,199.1,191656056.205746,28.36575,80.05625,50629.0,64804.25
2005-11-01,179.68,172.7,1907.0,10937.8,5.0,4.0,198.1,191931560.275213,28.445166666666665,80.07050000000001,50819.333333333336,64846.166666666664
2005-12-01,180.91,173.5,1941.0,10976.2,4.9,4.16,198.1,192144650.571952,28.524583333333332,80.08475,51009.666666666664,64888.083333333336
2006-01-01,182.32,177.2,2036.0,11096.7,4.7,4.29,199.3,192349619.368451,28.604,80.099,51200.0,64930.0
2006-02-01,183.287,177.7,2048.0,11151.4,4.8,4.49,199.4,192543155.536697,28.679666666666666,80.11316666666667,51203.333333333336,65002.583333333336
2006-03-01,184.364,178.3,2245.0,11195.7,4.7,4.59,199.7,192689415.013787,28.755333333333333,80.12733333333334,51206.666666666664,65075.166666666664
2006-04-01,184.329,179.0,2071.0,11190.3,4.7,4.79,200.7,192816222.234432,28.831,80.14150000000001,51210.0,65147.75
2006-05-01,184.156,179.9,1897.0,11182.7,4.6,4.94,201.3,192913227.959179,28.906666666666666,80.15566666666668,51191.666666666664,65220.333333333336
2006-06-01,183.507,180.7,2050.0,11198.2,4.6,4.99,201.8,193147245.618534,28.982333333333333,80.16983333333334,51173.333333333336,65292.916666666664
2006-07-01,183.067,182.3,1934.0,11196.3,4.7,5.24,202.9,193316395.095091,29.058,80.184,51155.0,65365.5
2006-08-01,182.596,182.6,1877.0,11189.6,4.7,5.25,203.8,193455410.756005,29.133666666666667,80.19816666666667,51255.0,65438.083333333336
2006-09-01,182.798,183.3,2011.0,11252.3,4.5,5.25,202.8,193557770.400404,29.209333333333333,80.21233333333333,51355.0,65510.666666666664
2006-10-01,183.198,182.3,1918.0,11306.0,4.4,5.25,201.9,193703005.261443,29.285,80.2265,51455.0,65583.25
2006-11-01,183.609,179.8,1893.0,11353.1,4.5,5.25,202.0,193948018.439989,29.360666666666667,80.24066666666667,51467.333333333336,65655.83333333333
2006-12-01,184.138,179.8,1888.0,11406.8,4.4,5.24,203.1,194181161.90413,29.436333333333334,80.25483333333334,51479.666666666664,65728.41666666667
2007-01-01,184.516,181.1,1822.0,11403.7,4.6,5.25,203.437,194948893.763168,29.512,80.269,51492.0,65801.0
2007-02-01,184.598,181.5,1640.0,11439.6,4.5,5.26,204.226,195127903.379601,29.542333333333335,80.28308333333334,51563.0,65605.5
2007-03-01,184.149,182.5,1623.0,11475.0,4.4,5.26,205.288,195234459.40799,29.572666666666667,80.29716666666667,51634.0,65410.0
2007-04-01,183.01,183.7,1539.0,11490.1,4.5,5.25,205.904,195286290.288425,29.603,80.31125,51705.0,65214.5
2007-05-01,181.6,184.0,1536.0,11495.5,4.4,5.25,206.755,195379410.571016,29.633333333333333,80.32533333333333,51764.0,65019.0
2007-06-01,180.254,184.0,1481.0,11488.4,4.6,5.25,207.234,195626629.46256095,29.663666666666668,80.33941666666666,51823.0,64823.5
2007-07-01,179.111,184.2,1534.0,11500.4,4.7,5.26,207.603,195763589.435011,29.694000000000003,80.3535,51882.0,64628.0
2007-08-01,178.11700000000002,183.9,1512.0,11506.2,4.6,5.02,207.667,195849821.459522,29.724333333333334,80.36758333333334,51943.333333333336,64432.5
2007-09-01,177.558,183.4,1356.0,11527.1,4.7,4.94,208.547,195982870.57074705,29.75466666666667,80.38166666666667,52004.666666666664,64237.0
2007-10-01,176.62400000000002,183.0,1405.0,11523.6,4.7,4.76,209.19,196078415.574749,29.785,80.39575,52066.0,64041.5
2007-11-01,175.14700000000002,183.3,1390.0,11512.3,4.7,4.49,210.834,196220576.812849,29.815333333333335,80.40983333333334,51957.333333333336,63846.0
2007-12-01,174.342,183.5,1328.0,11552.1,5.0,4.24,211.445,196456569.962753,29.845666666666666,80.42391666666667,51848.666666666664,63650.5
2008-01-01,173.132,184.3,1331.0,11553.4,5.0,3.94,212.174,196084372.417111,29.876,80.438,51740.0,63455.0
2008-02-01,171.54,185.7,1274.0,11547.6,4.9,2.98,212.687,196236313.611065,30.126583333333336,80.452,51801.0,63418.0
2008-03-01,170.053,187.8,1195.0,11545.3,5.1,2.61,213.448,196402782.353142,30.377166666666668,80.46600000000001,51862.0,63381.0
2008-04-01,168.338,190.9,1022.0,11500.7,5.0,2.28,213.942,196184250.38005495,30.627750000000002,80.48,51923.0,63344.0
2008-05-01,166.65900000000002,195.8,1142.0,12060.9,5.4,1.98,215.208,196465225.53211105,30.878333333333334,80.494,51789.666666666664,63307.0
2008-06-01,165.017,200.4,1142.0,11755.3,5.6,2.0,217.463,196571995.297128,31.12891666666667,80.508,51656.333333333336,63270.0
